"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Calm2.7",5.23027669705069e-80,1.21478604733314,0.945,0.891,1.06807480430472e-75,"SMC_4","Calm2"
"Celf2.8",1.07426959318358e-79,-1.60632740712526,0.14,0.764,2.19376593624018e-75,"SMC_4","Celf2"
"Cfh.11",2.21708940105564e-79,-2.42386509597453,0.544,0.88,4.52751826589571e-75,"SMC_4","Cfh"
"Apoe.9",1.57299741239656e-78,-3.82922090939402,0.489,0.874,3.21221801585502e-74,"SMC_4","Apoe"
"Lmod1.11",3.88236773616237e-78,1.33305686704224,0.871,0.373,7.92818315401718e-74,"SMC_4","Lmod1"
"Mfge8.8",4.12650633749476e-78,1.45280831661269,0.912,0.646,8.42673859179804e-74,"SMC_4","Mfge8"
"Hes1.9",4.77057914074925e-78,1.92697176125197,0.732,0.32,9.74199966332405e-74,"SMC_4","Hes1"
"mt-Atp6.10",6.39579694959588e-78,0.848262554716656,1,0.998,1.30608569507698e-73,"SMC_4","mt-Atp6"
"Plxnb1",7.27217683485758e-78,0.546339370012991,0.239,0.033,1.48505123144627e-73,"SMC_4","Plxnb1"
"Amigo2.2",7.58000712634148e-78,0.800475880591705,0.364,0.073,1.54791325527019e-73,"SMC_4","Amigo2"
"Col1a1.8",7.83059295940041e-78,-2.74479816682483,0.349,0.804,1.59908538823916e-73,"SMC_4","Col1a1"
"Astn1.1",1.69887787525111e-77,0.313590491624589,0.165,0.016,3.46927850905029e-73,"SMC_4","Astn1"
"Kcnab1.10",3.73837359775774e-76,0.997715595183446,0.614,0.19,7.63413272398108e-72,"SMC_4","Kcnab1"
"Col3a1.11",1.67499878811945e-75,-2.6504192457164,0.423,0.84,3.42051502521872e-71,"SMC_4","Col3a1"
"Olfml2a.5",6.48672691707382e-75,1.04301780956158,0.526,0.156,1.32465450373565e-70,"SMC_4","Olfml2a"
"Fam241a",1.98331798331924e-74,0.732318409608678,0.368,0.078,4.05013365373622e-70,"SMC_4","Fam241a"
"mt-Co2.8",2.11545248511244e-73,0.816834018929419,1,0.996,4.31996551984812e-69,"SMC_4","mt-Co2"
"mt-Nd4.8",3.52916487760491e-73,0.906764089611674,1,0.99,7.20690759655699e-69,"SMC_4","mt-Nd4"
"Mgst3.2",1.01934315294054e-72,1.34957932132803,0.61,0.221,2.08160065261988e-68,"SMC_4","Mgst3"
"Mef2c.9",8.67591323124493e-72,1.40750704184186,0.868,0.592,1.77170824095253e-67,"SMC_4","Mef2c"
"mt-Co3.7",1.75987135492634e-71,0.858080176368993,1,0.997,3.59383329389507e-67,"SMC_4","mt-Co3"
"Abi3bp.9",2.05140848849699e-71,-2.14778413177558,0.147,0.703,4.1891812743597e-67,"SMC_4","Abi3bp"
"B2m.8",4.19200644396795e-71,-1.53406729190931,0.695,0.951,8.56049635922694e-67,"SMC_4","B2m"
"Ppp1r12b.10",5.88935830499006e-71,1.36700993694692,0.794,0.44,1.20266585946202e-66,"SMC_4","Ppp1r12b"
"Cspg4.11",9.2685644137968e-71,1.05968138410611,0.688,0.251,1.89273353894144e-66,"SMC_4","Cspg4"
"Syne2.7",2.52262484399802e-70,1.51019881407814,0.82,0.478,5.15145219392836e-66,"SMC_4","Syne2"
"Fbln5.10",4.2197706526368e-70,-2.02466771605599,0.235,0.758,8.6171936497496e-66,"SMC_4","Fbln5"
"Htra3.11",8.64358909652167e-70,-2.08353506626438,0.04,0.629,1.76510732940069e-65,"SMC_4","Htra3"
"Igfbp5.7",1.2514388221137e-69,0.956666700909706,0.831,0.363,2.55556321863839e-65,"SMC_4","Igfbp5"
"Prkar1a.4",1.91833266614402e-69,1.02399448600156,0.923,0.793,3.91742713753271e-65,"SMC_4","Prkar1a"
"Nupr1.11",4.13439829547276e-69,-2.06706712437229,0.184,0.755,8.44285475918493e-65,"SMC_4","Nupr1"
"Zfhx3.11",4.53594921247732e-69,1.36454880038395,0.893,0.647,9.26286188679994e-65,"SMC_4","Zfhx3"
"Aebp1.11",9.12682207295536e-69,-2.04622984842826,0.246,0.76,1.86378833551821e-64,"SMC_4","Aebp1"
"Trpv2.2",9.98647903658342e-69,0.757406394127606,0.342,0.072,2.0393388840607e-64,"SMC_4","Trpv2"
"Hrct1.1",2.02835224295847e-68,0.754133344943837,0.349,0.073,4.1420981153455e-64,"SMC_4","Hrct1"
"Acta2.10",4.62179380045277e-68,1.31447228843168,0.967,0.555,9.4381651199046e-64,"SMC_4","Acta2"
"Tbc1d1.1",6.41762418942611e-68,0.921614625590949,0.474,0.136,1.31054303572271e-63,"SMC_4","Tbc1d1"
"Neurl1b",6.93054029937312e-68,0.280382331787865,0.165,0.018,1.41528563453499e-63,"SMC_4","Neurl1b"
"Rps12.5",1.17875838409082e-67,-0.84762161428498,0.967,0.991,2.40714249615186e-63,"SMC_4","Rps12"
"Fmo2.12",1.57445266212416e-67,-2.57701527040445,0.129,0.683,3.21518978132375e-63,"SMC_4","Fmo2"
"Tuba1c.7",2.98968330036948e-67,1.27605981370611,0.658,0.27,6.10523226768452e-63,"SMC_4","Tuba1c"
"Actn4.10",3.11035863335185e-67,1.16695382130136,0.897,0.661,6.35166336516782e-63,"SMC_4","Actn4"
"Itga1.9",4.72887278150239e-67,1.32792267457832,0.809,0.411,9.65683110710603e-63,"SMC_4","Itga1"
"Map7d2.1",5.79779662674144e-67,0.744436172185828,0.393,0.093,1.18396804914687e-62,"SMC_4","Map7d2"
"Stac",7.93159826730704e-67,0.368293698691411,0.129,0.011,1.61971168216677e-62,"SMC_4","Stac"
"Gm50431",1.13695014829749e-66,0.363702350171291,0.158,0.017,2.32176589783831e-62,"SMC_4","Gm50431"
"mt-Cytb.9",1.48852603641824e-66,0.854448213810127,0.996,0.994,3.0397190189697e-62,"SMC_4","mt-Cytb"
"C2cd2.2",1.78834846890018e-66,1.03505980476544,0.537,0.182,3.65198640834105e-62,"SMC_4","C2cd2"
"mt-Co1.10",4.18923929985861e-66,0.724013013152167,1,0.997,8.55484557424127e-62,"SMC_4","mt-Co1"
"Rnase4.11",4.43311500382315e-66,-1.94781680102967,0.129,0.669,9.05286414930724e-62,"SMC_4","Rnase4"
"Hopx.1",9.01970988885591e-66,0.832654677558429,0.294,0.057,1.84191495640326e-61,"SMC_4","Hopx"
"Rps4x.9",1.09093653973429e-65,-0.962500726008547,0.96,0.987,2.2278015077914e-61,"SMC_4","Rps4x"
"Pam.8",1.12564362011563e-65,-1.70011081209314,0.485,0.818,2.29867683663813e-61,"SMC_4","Pam"
"Lrp1.10",2.85732455453945e-65,-1.72982600352344,0.537,0.849,5.83494247282501e-61,"SMC_4","Lrp1"
"Ftl1.8",1.16986847010666e-64,-1.66845910817981,0.838,0.957,2.3889884028048e-60,"SMC_4","Ftl1"
"Csrp1.11",1.47890512442892e-64,1.49609676574581,0.842,0.501,3.02007215459631e-60,"SMC_4","Csrp1"
"Dcn.11",2.17219530774246e-64,-5.32577050449638,0.316,0.718,4.43584003794088e-60,"SMC_4","Dcn"
"Ccdc3.9",4.51743905329796e-64,1.14118732744689,0.621,0.237,9.22506229073976e-60,"SMC_4","Ccdc3"
"Cystm1.4",2.26171324893017e-63,0.968475469072871,0.632,0.254,4.6186446256403e-59,"SMC_4","Cystm1"
