"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnps1.1",1.70138369676779e-13,0.762593465410244,0.857,0.409,3.4743956471695e-09,"Mac_4","Rnps1"
"Desi1",1.73313896736786e-13,1.15981275998264,0.548,0.163,3.5392430852619e-09,"Mac_4","Desi1"
"Twf2.4",2.12989606661082e-13,0.549694257477966,0.667,0.211,4.34946075762596e-09,"Mac_4","Twf2"
"P3h3.11",2.18689021671214e-13,-1.19726542305953,0,0.638,4.46584851154787e-09,"Mac_4","P3h3"
"Plxdc2.12",2.20598864648274e-13,-1.49422114105747,0.167,0.73,4.50484941498241e-09,"Mac_4","Plxdc2"
"Fkbp7.12",2.21437089446946e-13,-1.27352481245537,0.095,0.678,4.52196680359608e-09,"Mac_4","Fkbp7"
"Hnrnpd.3",2.28733334991698e-13,1.17682247080006,0.952,0.581,4.67096343386547e-09,"Mac_4","Hnrnpd"
"C2cd3",2.30276677921353e-13,0.274420650847796,0.452,0.097,4.70248003983195e-09,"Mac_4","C2cd3"
"Gas1.16",2.32082495460507e-13,-2.19324850864272,0,0.638,4.73935663979902e-09,"Mac_4","Gas1"
"Rbpms.15",2.3580782122136e-13,-1.95334841742961,0.19,0.729,4.81543151716139e-09,"Mac_4","Rbpms"
"Ltbp3.12",2.40763803429969e-13,-1.26026353191675,0.095,0.673,4.91663762984339e-09,"Mac_4","Ltbp3"
"Prrx1.13",2.43852585896668e-13,-1.35992540691232,0,0.637,4.97971365659586e-09,"Mac_4","Prrx1"
"Colec12.16",2.47505525570793e-13,-1.48169585064339,0.095,0.711,5.05431033768116e-09,"Mac_4","Colec12"
"Trerf1.3",2.50121861131207e-13,0.374618416644348,0.476,0.112,5.10773852616037e-09,"Mac_4","Trerf1"
"Fndc3b.14",2.65672509988382e-13,-1.3150853167597,0.214,0.745,5.42529832647276e-09,"Mac_4","Fndc3b"
"Hnrnpu.5",2.81134752609288e-13,1.14838459930932,1,0.814,5.74105278303427e-09,"Mac_4","Hnrnpu"
"Ndrg2.14",2.9292858621275e-13,-1.44955812983135,0.167,0.708,5.98189465905057e-09,"Mac_4","Ndrg2"
"Eed",2.95330216378003e-13,0.485161447125711,0.738,0.229,6.0309383486552e-09,"Mac_4","Eed"
"Snrpe.3",2.99818920999745e-13,1.16410330866623,0.976,0.764,6.1226021857358e-09,"Mac_4","Snrpe"
"Larp7",3.27953950301359e-13,0.703215579475959,0.833,0.345,6.69714761910404e-09,"Mac_4","Larp7"
"Mcub.3",3.29514696518527e-13,0.515267312645968,0.5,0.129,6.72901961760484e-09,"Mac_4","Mcub"
"Cpe.16",3.33236350718995e-13,-2.55908365513492,0.333,0.755,6.8050195180326e-09,"Mac_4","Cpe"
"Prelid1.4",3.4636174784544e-13,0.915674686312232,0.976,0.659,7.07305325275174e-09,"Mac_4","Prelid1"
"Ncl.2",3.75437069069604e-13,1.21592163390456,1,0.89,7.66680038747039e-09,"Mac_4","Ncl"
"Jpx",3.8896814084944e-13,0.344870346730681,0.238,0.034,7.94311840428642e-09,"Mac_4","Jpx"
"H1f2.3",4.10455412819885e-13,1.14014259867219,0.714,0.274,8.38190998519488e-09,"Mac_4","H1f2"
"Rpl32.10",4.18397896429572e-13,0.770904901052812,1,0.988,8.54410344298829e-09,"Mac_4","Rpl32"
"Trim27",4.22259829147219e-13,0.466231876542497,0.714,0.22,8.62296797101536e-09,"Mac_4","Trim27"
"Kdm2b.3",4.45500228011057e-13,0.452805757862898,0.5,0.121,9.09756015621380e-09,"Mac_4","Kdm2b"
"Mis12",4.53288636541928e-13,0.416261474808725,0.524,0.141,9.25660724682271e-09,"Mac_4","Mis12"
"Pla2g7.3",4.57041783546169e-13,0.310536086375797,0.238,0.033,9.33325026179631e-09,"Mac_4","Pla2g7"
"C2cd5",4.60058995993494e-13,0.412329098760268,0.524,0.131,9.39486475718313e-09,"Mac_4","C2cd5"
"Igfbp4.15",4.74595940289939e-13,-3.31741341204637,0.31,0.762,9.69172369666084e-09,"Mac_4","Igfbp4"
"Lsp1.16",4.82489198680843e-13,1.6002217884676,0.762,0.414,9.85291192626149e-09,"Mac_4","Lsp1"
"Lum.17",4.85204238045234e-13,-3.63837122866845,0.143,0.684,9.90835574512172e-09,"Mac_4","Lum"
"Ccn2.17",4.86434128236628e-13,-3.27471945258854,0.214,0.719,9.93347133272017e-09,"Mac_4","Ccn2"
"H2ac6",4.95502945569323e-13,0.274207377448954,0.119,0.01,1.01186656514711e-08,"Mac_4","H2ac6"
"Copz2.11",5.10219078519899e-13,-1.16110574815736,0.119,0.675,1.04191838024549e-08,"Mac_4","Copz2"
"Hnrnpa2b1.4",5.17935368938756e-13,1.08855532666391,1,0.905,1.05767581690983e-08,"Mac_4","Hnrnpa2b1"
"Irf8.4",5.20818593619146e-13,0.918047438228404,0.381,0.078,1.06356365002966e-08,"Mac_4","Irf8"
"Sdc2.14",5.24059994310842e-13,-1.35221530412044,0.024,0.637,1.07018291438217e-08,"Mac_4","Sdc2"
"Pabpc1.11",5.26159672873626e-13,0.889522660822606,1,0.84,1.07447066797523e-08,"Mac_4","Pabpc1"
"Mtf2",5.68382424494625e-13,0.516948661205278,0.619,0.19,1.16069374906047e-08,"Mac_4","Mtf2"
"Srsf1.1",5.95679625891061e-13,0.855623726208681,0.905,0.419,1.21643736403214e-08,"Mac_4","Srsf1"
"Brip1.1",5.95742837103905e-13,0.290890535503829,0.429,0.092,1.21656644764988e-08,"Mac_4","Brip1"
"Smc1a.3",6.08978083242796e-13,0.906786391829641,0.952,0.741,1.24359414379011e-08,"Mac_4","Smc1a"
"Klf2.15",6.23684657329508e-13,-1.97869302203883,0.524,0.883,1.27362643873259e-08,"Mac_4","Klf2"
"Gimap6.4",6.47818228569223e-13,0.310245196792121,0.357,0.067,1.32290960456121e-08,"Mac_4","Gimap6"
"Med30",6.5478528707719e-13,0.616226848028106,0.833,0.331,1.33713703474033e-08,"Mac_4","Med30"
"Ppm1g.1",6.57437530220573e-13,0.777693004450859,0.81,0.364,1.34255318046343e-08,"Mac_4","Ppm1g"
"Actl6a",6.95536621556165e-13,0.586961299568543,0.762,0.282,1.42035533487985e-08,"Mac_4","Actl6a"
"Mxra7.15",6.98106278000922e-13,-1.29976767154819,0.071,0.655,1.42560283030568e-08,"Mac_4","Mxra7"
"Set.3",7.54963557620723e-13,1.21806854473597,0.976,0.808,1.54171108101728e-08,"Mac_4","Set"
"Nt5dc2.7",7.85944952025877e-13,0.542666613536491,0.5,0.131,1.60497818653204e-08,"Mac_4","Nt5dc2"
"Thy1.12",7.87482304061448e-13,1.77193179960898,0.5,0.156,1.60811761312388e-08,"Mac_4","Thy1"
"Hes6",8.09798705134624e-13,0.328890688629821,0.524,0.132,1.65368993575542e-08,"Mac_4","Hes6"
"Ak2.2",9.08056252727885e-13,0.690497514703998,0.738,0.303,1.85434167369561e-08,"Mac_4","Ak2"
"Calm3.1",9.09474234421947e-13,0.820568924687391,0.976,0.733,1.85723733411306e-08,"Mac_4","Calm3"
"Plpp1.14",9.16155596426314e-13,-1.28900622385981,0.071,0.652,1.87088134346218e-08,"Mac_4","Plpp1"
"Ppwd1",9.34330165036407e-13,0.535748118836165,0.548,0.142,1.90799563002085e-08,"Mac_4","Ppwd1"
